Story_ID,Epic,Requirement_Code,Priority,Title,Acceptance_Criteria,Status,Sprint
US-403,Epic 4: Innovation & Products,PROD-CASE-001,P0,OneHR, Pulse & FlightOps Platforms,"Presents OneHR (Workforce), Pulse (Telemetry/Observability), and FlightOps (DevOps delivery pipeline).",Done,Sprint 2
US-404,Epic 4: Innovation & Products,PROD-CASE-001,P0,AuraFace Identity & RetailOps Platform,"Showcases AuraFace (Biometric Zero-Trust Identity) and NForce RetailOps (POS Testing).",Done,Sprint 2
US-405,Epic 4: Innovation & Products,INNOV-002,P1,Request a Product Demo Flow,"Each product features a direct 'Request a Demo' trigger routing to the proposal modal.",Done,Sprint 2
US-501,Epic 5: Ask Navi AI Assistant,CHAT-001,P0,Persistent Floating Launcher Widget,"Persistent unobtrusive bottom-right floating trigger across desktop and mobile.",Done,Sprint 2
US-502,Epic 5: Ask Navi AI Assistant,CHAT-002,P0,Grounded Company Q&A Engine,"Answers questions accurately on 4 Pillars, Telecom, Products, and Engagement Models without hallucinations.",Done,Sprint 2
US-503,Epic 5: Ask Navi AI Assistant,CHAT-004,P1,Quick-Prompt Discovery Chips,"Preset guided prompt chips for AI & Agentic, Telecom OSS/BSS, QForce AI, and US+India Delivery.",Done,Sprint 2
US-504,Epic 5: Ask Navi AI Assistant,CHAT-005,P1,In-Chat Lead Qualification & Capture,"Captures visitor name, corporate email, company, and project interest with consent.",Done,Sprint 2
US-505,Epic 5: Ask Navi AI Assistant,CHAT-007,P0,Human Handoff & Discovery Booking,"Provides fallback to human solutions architect or meeting booking when confidence is low.",Done,Sprint 2
US-506,Epic 5: Ask Navi AI Assistant,CHAT-010,P1,Brand-Aligned Concierge UI,"Styled with NForce Crimson and Dark Slate themes, keyboard accessibility, and mobile drawer behavior.",Done,Sprint 2
US-601,Epic 6: Engagement Models & Proof,ENG-001,P1,US + India Delivery Models Module,"Interactive breakdown of Onshore (US), Offshore (India), Hybrid, Managed Delivery, SOW, and T&M.",Done,Sprint 2
US-602,Epic 6: Engagement Models & Proof,CASE-001,P0,Client Case Studies Library,"Case studies following Appendix A standard with validated metrics (Uptime, QA Speed, Cost Savings).",Done,Sprint 2
US-603,Epic 6: Engagement Models & Proof,TEST-001,P0,Verified Client Testimonials,"Senior client quotes with name, title, company, and approval verification.",Done,Sprint 2
US-604,Epic 6: Engagement Models & Proof,EMP-TEST-001,P1,Authentic Employee Experience & Culture,"Real employee testimonials and culture highlights showcasing engineering pride.",Done,Sprint 2
US-605,Epic 6: Engagement Models & Proof,HOME-006,P1,Animated Metrics Counter Dashboard,"Scroll-triggered count-up counters (99.9% Uptime, 45% Faster QA, 500+ Deployments, 24/7 SOC).",Done,Sprint 1
US-701,Epic 7: Optimization & Governance,RESP-001,P0,Cross-Device Responsive Verification,"Verified layout on Mobile (375px), Tablet (768px), Laptop (1024px), and Desktop (1440px).",Done,Sprint 1
US-702,Epic 7: Optimization & Governance,A11Y-001,P0,Accessibility & Reduced-Motion Support,"Semantic HTML headings, ARIA roles, readable contrast, and CSS prefers-reduced-motion fallbacks.",Done,Sprint 2
US-703,Epic 7: Optimization & Governance,SEO-001,P0,SEO Meta & Semantic Architecture,"Descriptive page title, meta description, H1/H2 hierarchy, canonical tags, and OpenGraph metadata.",Done,Sprint 1
US-704,Epic 7: Optimization & Governance,DEL-010,P0,Playwright End-to-End Automated Test Pack,"Automated UI regression test pack covering all PRD flows and acceptance criteria.",Done,Sprint 1
US-107,Epic 1: Brand & Hero Positioning,ANIM-001,P1,Integrated Hero Command Center Telemetry,"Integrated executive metrics counters (99.9% Uptime, 45% QA, 500+ Deployments, 24/7 SOC) and verified trust bar directly in Hero, eliminating middle-page ticker and zebra-striping.",Done,Sprint 2
US-306,Epic 3: Telecom Domain Differentiator,ANIM-002,P1,Bespoke 3D Perspective Card Tilt,"Subtle mouse-interactive 3D perspective tilt on Telecom and Product cards using CSS perspective(1000px) and cursor-following specular sheen.",Done,Sprint 2
US-406,Epic 4: Innovation & Products,ANIM-003,P1,Bespoke Architecture Telemetry & Signal Flow,"Interactive architecture preview for QForce AI and AIKTRA showing live signal flow animation via GPU-accelerated SVG dash-offsets without 3D bloat.",Done,Sprint 2
US-507,Epic 5: Ask Navi AI Assistant,ANIM-004,P1,Bespoke Ask Navi Floating Radar & Fluid Drawer Motion,"Floating AI trigger with subtle pulsing radar ring indicating 'AI Online', fluid slide-up concierge drawer with staggered message reveal.",Done,Sprint 2
US-705,Epic 7: Optimization & Governance,A11Y-002,P0,Interaction & Accessibility Bug Fix Pass,"Footer wizard link wired; wizard resets on reopen; generic CTAs clear stale proposal summary; Ask Navi user input rendered as text (XSS fix); Escape closes all modals; Ask Navi trigger keyboard-operable with aria-expanded; footer logo served locally. 21/21 Playwright tests passing.",Done,Sprint 4
US-706,Epic 7: Optimization & Governance,RESP-002,P0,Responsive Navigation & Signature Micro-Interactions,"Menu panel below 1400px with all sections, 11 industries and CTA; single-line desktop nav from 1400px; hero headline word-rise and crimson light sweep; header scroll-progress bar; active-section nav highlight; tactile press and magnetic primary CTAs; cursor spotlight on pillar/product/engagement cards; Ask Navi typing indicator. GPU-only motion with reduced-motion fallbacks. 25/25 Playwright tests passing.",Done,Sprint 5
US-707,Epic 6: Engagement Models & Proof,ENG-002,P1,Engagement Configurator Redesign & Live Culture Band,"Estimator rebuilt around PRD pillars with US/India delivery model, live squad visual, sprint track, coverage and governance output; Cross-Border Culture strip rebuilt with follow-the-sun backdrop, handoff arc and real Dallas/Bengaluru clocks; final CTA photo replaced by animated Architecture Alignment Session blueprint. 28/28 Playwright tests passing.",Done,Sprint 6
US-708,Epic 7: Optimization & Governance,PRD-GAP-001,P0,PRD Completeness & Launch Polish,"Added Sync, Tracktion and NForce RetailOps product cards; fifth Telecom Data & Automation pillar; Ask Navi in-chat lead capture with explicit consent (CHAT-005); removed internal document jargon from visitor-facing copy; added favicon, Open Graph/Twitter share metadata and PRD-aligned meta description. 30/30 Playwright tests passing.",Done,Sprint 7
US-709,Epic 7: Optimization & Governance,CRED-001,P0,Credibility Focus & Performance Pass,"Softened unverifiable claims (compliance badges as aligned practices, hero counters count on-page capabilities, case studies as representative blueprints with NDA references, qualitative telecom/product/process metrics); consolidated sections (Matrix into Capabilities tabs, Engagement + Process + Culture into How We Deliver, configurator joined to final CTA, nav 9 to 7 links); hero cut to two CTAs; pulsing indicators limited to live data; brand unified to NForce One; images compressed 2.9MB to 0.7MB. 31/31 Playwright tests passing.",Done,Sprint 8
